Year,Project Name,Client,Role,URL,Short Description,Expanded Description
2015,Which Days Of The Week Have Inspired The Most Hit Songs?,Vocativ,Designer,http://www.vocativ.com/culture/music/days-of-the-week-songs/,,
2012,Map of the Dark-Money Universe,Mother Jones,"Designer, developer",https://www.motherjones.com/politics/2012/06/interactive-chart-super-pac-election-money/,,
2012,Tributary.io,Open Source,Designer,http://tributary.io,,
2012,Stop SOPA,Freelance,"Creator, designer",http://visual.ly/stop-sopa,,
2011,Solvate SXSW Booth,Solvate,"Creator, designer",https://www.facebook.com/Solvate/photos/a.187226797987825.41460.106446489399190/187227051321133/?type=3&theater,,
2011,Land Mass by Country,Freelance,"Creator, designer",http://visual.ly/landmass-country,,
2011,Internet Speeds Around the World,Freelance,"Creator, designer",http://visual.ly/internet-speeds-and-costs-around-world,,
2011,Teacher's Worth Around the World,Freelance,"Creator, designer",http://visual.ly/teachers-worth-around-world,,
2011,Visualizing Alcohol Use,Freelance,"Creator, designer",http://visual.ly/visualizing-alcohol-use,,
2011,Inequality in America,Freelance,"Creator, designer",http://visual.ly/inequality-america,,
2011,Grammy History: Who Does The Music Industry Reward,Freelance,"Creator, designer",http://visual.ly/grammy-history-who-does-music-industry-reward,,
2011,A Visual History of the TSA & Airline Terror,Freelance,"Creator, designer",http://visual.ly/visual-history-tsa-and-airline-terror,,
2011,How Do College Students Use Their Time,Freelance,"Creator, designer",http://visual.ly/how-do-college-students-use-their-time,,
2011,The Under-Educated States of America,Freelance,"Creator, designer",http://visual.ly/under-educated-states-america,,
2011,Wealth Distribution in the US,Freelance,"Creator, designer",http://visual.ly/wealth-distribution-united-states,,
2011,A History of BitTorrent,Freelance,"Creator, designer",http://visual.ly/history-bittorrent,,
2011,The Unemployed States of America,Freelance,"Creator, designer",http://visual.ly/unemployed-states-america,,
2011,$1 Salary CEO Club,Freelance,"Creator, designer",http://visual.ly/who-one-dollar-salary-ceo-club,,
2011,Visualizing Life in the Cloud,Freelance,"Creator, designer",http://visual.ly/visualizing-life-cloud,,
2011,Bank Failures in America,Freelance,"Creator, designer",http://visual.ly/bank-failures-america,,
2011,The Wealth of World Leaders,Freelance,"Creator, designer",http://visualeconomics.creditloan.com/the-wealth-of-world-leaders/,,
2011,Visualizing the NYC Marathon,Visual.ly,"Creator, designer",http://visual.ly/visualizing-ing-nyc-marathon,,
